uid,source,label,diacritic,sentence,original,translation,gloss,simple,Arg. Str.,ellipsis,filler-gap,control/raising,island effects,NPI/NCI,verbal agr.,binding,morphology,nominal structure,quantifier,category,acceptability
2415,ChatGPT,1,,子供たちは公園で鬼ごっこをしている。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,acceptable
1597,ChatGPT,1,,店員がどの商品を勧めるかお客さんは待っている。,,,,False,False,False,False,False,True,False,False,False,False,False,False,island effects,acceptable
2550,ChatGPT,0,,拍車がそんな議論をかけやすさに話された。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,unacceptable
1216,ChatGPT,0,,彼女はピアノをが弾けそうだ。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
2158,ChatGPT,1,,どの映画を見ても、彼女は感情移入してしまう。,,,,False,False,False,True,False,False,False,False,False,False,False,False,filler-gap,acceptable
1753,ChatGPT,0,,今日は誰もがその本にも触れなかった。,,,,False,False,False,False,False,False,True,False,False,False,False,False,NPI/NCI,unacceptable
1237,ChatGPT,0,,彼は考えをが変えた。,,,,False,False,False,False,False,False,False,False,False,True,False,False,morphology,unacceptable
1351,ChatGPT,1,,彼女は来週友達と会いますよ。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,acceptable
826,ChatGPT,0,,秀樹は彼の趣味にこ没頭した。,,,,False,False,False,False,False,False,False,False,True,False,False,False,binding,unacceptable
1893,ChatGPT,0,,彼女は歌が上手いですが。,,,,True,False,False,False,False,False,False,False,False,False,False,False,simple,unacceptable
1451,ChatGPT,0,,その灯りは辛いです。,,,,False,False,False,False,False,False,False,True,False,False,False,False,verbal agr.,unacceptable
1864,ChatGPT,0,,彼女はバス停をした。,,,,False,False,False,False,False,False,False,False,False,False,True,False,nominal structure,unacceptable
2558,ChatGPT,0,,だるまが母親に転ばされた。,,,,False,True,False,False,False,False,False,False,False,False,False,False,Arg. Str.,unacceptable
1521,ChatGPT,0,,恵美は健がどうして彼女のプレゼントを返したのか悲しんでいるの？,,,,False,False,False,True,False,True,False,False,False,False,False,False,filler-gap,unacceptable
