source,label,sentence
ChatGpt,0,ラジオが自分でニュースを作成し、スピーカーがそれを放送した。
ChatGpt,1,教室での新しい生物学の授業で、学生たちは生命の多様性について学んだ。
ChatGpt,0,りんごが太郎に食べられた。
ChatGpt,0,犬は太陽を吠えた。
ChatGpt,0,花子は壁に歌った。
ChatGpt,0,子供は学校で寝た家を持っている。
ChatGpt,1,彼女は週末に友人と一緒に新しい展覧会を訪れて刺激を受けた。
ChatGpt,0,水が空を飛んだ。
ChatGpt,1,昨日、私たちは近くの公園でピクニックを楽しんだ。
ChatGpt,1,明日、私たちは友人とハイキングに行く予定です。
ChatGpt,1,彼は新しいギターを買って毎日練習している。
ChatGpt,1,太郎は自分のバンドで新しい曲を作っている。
ChatGpt,0,車が道に運転された。
ChatGpt,0,スマートフォンが自分の写真を展示した。
ChatGpt,0,扉が自分の色を変え、壁がそれを賞賛した。
ChatGpt,0,ペンが自分の詩を朗読した。
ChatGpt,1,私たちは昨日、美しい海岸で散歩を楽しんだ。
ChatGpt,0,その車は川を泳いでいた。
ChatGpt,0,テレビが自分の映画を制作し、リモコンが監督をした。
ChatGpt,1,私は昨夜、星がとても綺麗に見える場所に行った。
ChatGpt,0,時計が昨日と会話をした。
ChatGpt,1,彼女は新しいヨガスタジオでリラクゼーションを見つけた。
ChatGpt,1,彼女は新しい料理教室で健康的なメニューを学んだ。
ChatGpt,1,教室での新しい社会科学の授業で、学生たちは現代の問題について議論した。
ChatGpt,1,彼は友人と一緒に新しいスポーツクラブに行った。
ChatGpt,1,学生たちは図書館で集中して試験勉強に取り組んでいる。
ChatGpt,1,彼は新しい仕事に挑戦するために、大きな決断をした。
ChatGpt,1,教室での新しい授業計画で、学生たちはモチベーションを高めた。
ChatGpt,0,スマートフォンが自分のアプリを開発し、画面が試用した。
ChatGpt,1,突然の雨に降られて、彼女はバス停まで走った。
ChatGpt,1,彼は新しい趣味としてガーデニングを始めた。
ChatGpt,0,テレビが自分のニュースを報じた。
ChatGpt,1,学生たちは図書館でグループスタディに励んでいる。
ChatGpt,0,本が太郎にページをめくらせた。
ChatGpt,0,靴下が自分で歩いた。
ChatGpt,1,教室での新しい数学の授業で、学生たちは統計学について学んだ。
ChatGpt,1,彼は新しいプロジェクトのために、夜遅くまで残業した。
ChatGpt,1,太郎は朝の散歩で鳥のさえずりを楽しんだ。
ChatGpt,0,机が自分で勉強して、本が教えた。
ChatGpt,0,スピーカーが自分の声を聞き、ラジオがインタビューをした。
ChatGpt,0,車が空を飛んだ。
ChatGpt,1,太郎は新しいランニングシューズで走ることを楽しんでいる。
ChatGpt,0,窓が自分で外に出た。
ChatGpt,1,昨夜、私たちは友人と一緒に新しい展覧会を訪れた。
ChatGpt,1,彼は週末に友人とサイクリングに行く予定だ。
ChatGpt,1,私たちは週末に山へハイキングに行くことにしました。
ChatGpt,1,田中さんは新しいプロジェクトに取り組んで、夜遅くまで努力している。
ChatGpt,1,彼女は新しい美術館で現代アートを鑑賞した。
ChatGpt,1,彼は新しい旅行計画を立てて、週末のアドベンチャーを楽しみにしている。
ChatGpt,0,太郎は自転車に乗りながら、道路に運転された。
ChatGpt,0,植物が自分で水をやった。
ChatGpt,0,傘が晴れた日にピクニックに出かけ、草原が歓迎した。
ChatGpt,1,太郎は新しい映画を見て、そのストーリーに感動した。
ChatGpt,0,スマートフォンが自分の写真を撮り、画面がそれを鑑賞した。
ChatGpt,1,学生たちは図書館で勉強するために、早めに学校に来た。
ChatGpt,0,ベッドが自分で夢を見て話した。
ChatGpt,1,教室での新しい科学実験で、学生たちは興奮していた。
ChatGpt,0,ペンが自分の物語を書き、紙がそのストーリーを読んだ。
ChatGpt,0,彼は映画を見ながら、画面に演じさせられた。
ChatGpt,1,太郎は昨日、新しいカフェでコーヒーを飲んだ。
ChatGpt,1,教室での新しい社会科学の授業では、学生たちは文化的多様性について学んでいる。
ChatGpt,1,彼女は新しいドキュメンタリー映画を見て、深く考えさせられた。
ChatGpt,1,彼女は友人と一緒に新しいカフェでお茶を楽しんだ。
ChatGpt,0,鳥は巣を作りながら、木に住まわせられた。
ChatGpt,0,時計が昨日を忘れた。
ChatGpt,1,彼は新しいスポーツジムに入会して、運動を始めた。
ChatGpt,0,雨が雲を降らせた。
ChatGpt,0,彼女は本に話しかけた。
ChatGpt,1,春休みに彼女は海外旅行に行く予定だ。
ChatGpt,1,彼は新しいハイキングコースを試して自然を楽しんだ。
ChatGpt,1,彼女は新しい仕事の面接に挑んだ。
ChatGpt,1,教室での新しい数学の課題で、学生たちは解決策を考え出した。
ChatGpt,0,テレビが自分を見た。
ChatGpt,1,学生たちは新しい実験装置を使って実験を行い、結果に興味を持った。
ChatGpt,0,スマートフォンが自撮りで小説を書いた。
ChatGpt,1,先生は授業で日本の歴史について深く掘り下げた。
ChatGpt,0,時計が自分の針を追いかけた。
ChatGpt,0,鳥が魚に空を教えた。
ChatGpt,1,子供たちは公園で新しい遊具で遊んでいた。
ChatGpt,1,教室での新しい生物学の授業で、学生たちは動植物の生態系について学んだ。
ChatGpt,1,彼女は昨晩、お気に入りの映画を見て涙を流した。
ChatGpt,1,彼は新しい仕事で刺激的な挑戦に直面していた。
ChatGpt,1,明日、彼女は友人と映画を見に行く。
ChatGpt,0,時計が昨日に戻って、今日を教えた。
ChatGpt,1,太郎は新しいアニメシリーズに夢中になっている。
ChatGpt,1,子供たちは公園で新しい遊びを発見した。
