uid,source,label,diacritic,sentence,original,translation,gloss,simple,Arg. Str.,ellipsis,filler-gap,control/raising,island effects,NPI/NCI,verbal agr.,binding,morphology,nominal structure,quantifier
2415,ChatGPT,1,,子供たちは公園で鬼ごっこをしている。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1597,ChatGPT,1,,店員がどの商品を勧めるかお客さんは待っている。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2550,ChatGPT,0,,拍車がそんな議論をかけやすさに話された。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1216,ChatGPT,0,,彼女はピアノをが弾けそうだ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2158,ChatGPT,1,,どの映画を見ても、彼女は感情移入してしまう。,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1753,ChatGPT,0,,今日は誰もがその本にも触れなかった。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1237,ChatGPT,0,,彼は考えをが変えた。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1351,ChatGPT,1,,彼女は来週友達と会いますよ。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
826,ChatGPT,0,,秀樹は彼の趣味にこ没頭した。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1893,ChatGPT,0,,彼女は歌が上手いですが。,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1451,ChatGPT,0,,その灯りは辛いです。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1864,ChatGPT,0,,彼女はバス停をした。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2558,ChatGPT,0,,だるまが母親に転ばされた。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1521,ChatGPT,0,,恵美は健がどうして彼女のプレゼントを返したのか悲しんでいるの？,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1372,ChatGPT,1,,藤田さんが先生をお助けになった。,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
356,ChatGPT,0,*,彼女は映画を見なかったが、彼は兄がおすすめするを見た。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176,ChatGPT,0,*,彼女は全然誰もの意見を考慮しなかった。,彼女は全然誰もの意見を考慮しなかった。,She didn't consider anyone's opinion at all.,She-TOP at all who-MO-GEN opinion-ACC consider-NEG-PAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
503,ChatGPT,1,,彼はビジネスの拡大を計画するのを検討している。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,ChatGPT,1,g,誰もその変更に気づかなかった。,誰もその変更に気づかなかった。,Nobody noticed that change.',no one that change-ACC notice-NEG-PAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2425,ChatGPT,1,,猫がソファで寝ている。,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
597,ChatGPT,0,,カードが慎重に選ばれ失われた。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1707,ChatGPT,1,,この映画の音楽は印象的だが、あの映画のは忘れやすい。,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
559,ChatGPT,0,,犬が散歩に連れて行かれ終わった。,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
